stock,volume
CNS,2287
ORBK,3993
CNX,70711
TPI,1000
TPH,5697
CNW,4722
VNET,15111
CNY,45
PLTM,1
TPL,200
AGUNF,12000
FOXA,646736
SMMF,300
TPS,11
FOXF,1043
UBQU,11150
COB,424
EUFN,30081
COG,178592
DRCO,7790
ZIPR,38
COF,153741
FXIT,50000
DIRI,500
ANZBY,15685
TPX,7321
COH,432065
TPZ,871
NFLX,85194
GRYO,900
BCLI,106920
COL,17178
COO,12316
ZION,45086
COP,199832
UGNEQ,203700
COR,1912
LBTYA,84108
ELST,15000
COT,3851
LBTYB,2100
VVTV,24415
COW,700
COV,23993
GGP.PR.A,1442
NBHGY,100
LAD,1942
PLSB,5283
LAG,2766
PDCE,21762
CPB,28230
CPA,8250
ORAN,47033
VVUS,98116
CPF,1366
CPE,20336
ZIOP,25799
LAQ,571
LBTYK,81381
CPL,6825
CFNL,6472
ELTK,250
CJREF,344
CPK,264
LAS,384
CPN,49925
CMRZF,100
LAZ,5190
TRC,1795
UBSI,6493
UBSH,3768
CPT,31368
MAKSY,2641
PUGE,4119
TPRE,9224
TRF,1050
TRI,17236
TRK,10
NOAH,30267
JMPLY,120
LBF,958
TRN,49754
NSRPF,2000
TRQ,174117
TRP,26785
TRS,3603
LBJ,3190
TRR,143
CQB,2062
GQMNF,9985
NSANY,11789
TRW,14924
DPMLF,100
TRV,62700
TRX,6006
CQH,22566
TBDYF,333
LBY,33
CQP,5207
SMMU,228
TSC,14
NSANF,1319
UBRG,230000
TSH,100
ORCL,2082381
TSI,7165
PLUG,5329632
TSL,228118
TSN,59477
TSM,214758
TTRAF,1000
TSO,115625
ORCT,21400
LCI,7062
TSS,14421
NWPX,1408
CRF,8092
SPCHB,68
TSU,30935
LCM,4053
NPIFF,2000
OABC,11
CRH,9370
DISH,47449
IPRC,20000
JBSS,8
CRI,4457
USTR,1886
CRL,10367
CRK,51970
CRM,234285
PLUS,315
ZAAP,2000
BCOM,387
DAEG,282
TCB.PR.B,95
TTC,6742
CRR,10237
CRS,20676
TKGBY,7696
CRV,286
TTF,617
COCO,10663
TTI,6135
MGMCF,26000
SVBL,2404
CWST,512
CRY,15456
TTM,77380
SVBI,100
LDF,1440
LQMT,81550
TTP,3738
CSC,18677
LDK,37210
SGRCF,35000
TTS,25431
SEAC,8259
PLXS,1441
CSE,7543
CSD,18832
TTT,1894
LDL,289
CSG,29638
SBBSF,16270
CSI,545
LDP,17870
CSH,326
FGLD,45040
NTDOY,699
ORGC,11690
CSJ,24169
LDR,868
KEYW,8319
COBZ,351
CSM,435
CSL,23096
EDIG,500
PLXT,5043
CSQ,21725
AABVF,13525
CSP,8835
CSS,34
TUC,326
LVNVF,1000
CIG.C,2300
PDFS,1328
CSU,1236
CST,16335
HMPR,105
CSV,1851
OREO,400
CSX,185251
LEA,30347
BCPC,2239
LEE,16640
CWTR,2177
TUP,10202
MTOR,19746
CODI,3490
LEG,18901
NOBL,2923
TUR,50907
CTB,48692
LEI,1800
CODE,16369
OREX,24921
NWSA,86569
LEN,142780
CTF,4726
CTG,8560
BCOV,14838
LEO,700
TUZ,1439
PDGO,30000
CTL,628198
CAOVY,26
BCOR,26458
CTP,200
CTO,112
CTR,8343
TVC,3702
ALBPP,1655
CTQ,3047
TVE,1468
CTT,3218
CTS,9968
CTU,622
CTX,3201
MTRN,614
AFRAF,250
CTW,3920
HMST,239
LFC,12007
HECO,1208
CTY,6084
MTRX,139
HMSY,18021
GSBC,104
DRII,2354
CUB,2860
LFL,41087
MTSC,3336
THFF,277
DRIO,23400
CUI,711
SMSI,1650
CUK,30575
MTSI,5
DRIV,3361
GBAB,200
PULB,1065
CUR,15341
TWC,71307
YFRM,10000
SEAS,58760
CUT,13921
NWTR,3042
MLAB,304
PCG.PR.B,1
TWI,27549
ESPGY,12
BCRH,10274
CUZ,28785
DRHC,10000
TWN,1078
LGF,14572
TWM,176231
EDIV,21122
TWO,140366
CVA,28178
LGI,1749
ORGN,700
SUBCY,1055
KNKT,3900
CVD,2493
LGL,900
JKHY,3171
NNN.PR.E,1
CVC,144648
NNN.PR.D,396
CVE,46757
NWUC,100
LGP,1339
TWX,275447
CVG,5256
CVI,20540
BIR.PR.A,873
SMRT,3833
PCG.PR.A,300
CVM,2100
NOEC,300
CVO,7125
CVR,600
GSAT,69425
CVT,20
CVS,349627
CVV,20
CVX,231070
TXI,16288
BLDR,29458
CVY,6935
SVFC,709000
BLDP,298399
ZIXI,2336
HEES,133
TXN,392981
RSCO,1708
CWB,64753
TXT,80279
LHO,14118
CWI,3616
PDLI,50157
EDMC,6352
CWH,8413
GPE.PR.A,204
SEED,1500
BCRX,10732
MTUM,5
SEEK,2403986
TYC,22994
SNFCA,101
CWT,2644
HEDJ,15287
TYG,8741
UOVEY,132
ORIG,5478
MTSL,20
MTSN,4950
TYL,4658
COHU,64
HMTV,58
MLCG,500
TYN,1784
THGA,90
MCRI,119
COHR,1529
TYO,1520
ORIT,50
SGAMY,1015
CXA,721
LII,3171
ZAGG,4679
SMTC,18230
LIN,8592
CXE,34648
CXH,2438
MCRS,7597
MCRL,2830
TYY,4941
LIT,280
SSDOY,204
BDVSY,18
IPXL,6768
CXM,67445
TZA,903807
CXP,18244
CXO,85577
AIRYY,340
TZE,230
TZD,3782
TZG,50
TZI,200
CXW,21761
ALSMY,1621
TZL,106
TZO,182
BLFS,2155
BLFR,2000
CYB,513
CYD,632
TZW,1407
TZV,681
TZY,200
SEGI,250000
ALBKY,458118
CYH,45442
ORLY,20158
ECIFY,525
